Jname,Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs)
J1857+0300,36.274,0.072,284.32046,3.0072,0.772678043,2.65E-15,1.294200099,-4.44E-15,*,6.664,4.62E+06
J1857+0526,38.438,1.187,284.31607,5.44131,0.349951178,6.93E-15,2.857541464,-5.66E-14,*,12.231,8.00E+05
J1857+0809,40.839,2.446,284.28879,8.1512,0.502923871,4.74E-15,1.988372512,-1.87E-14,*,13.138,1.68E+06
J1857+0943,42.29,3.06,284.4016262,9.721442158,0.005362101,1.78E-20,186.4940783,-6.20E-16,*,1.2,4.76E+09
J1857-1027,24.275,-6.063,284.3602,-10.4503,3.687219048,1.06E-14,0.271207104,-7.76E-16,*,4.046,5.54E+06
J1858-0024g,33.411,-1.813,284.69,-0.4,0.4006,*,2.496256,*,*,4.717,*
J1858+0026g,34.075,-1.281,284.52,0.43,4.71467,*,0.212104,*,*,6.851,*
J1858+0215,35.725,-0.493,284.5726,2.261,0.745828032,4.61E-15,1.340791653,-8.29E-15,*,7.229,2.56E+06
J1858+0239,36.085,-0.31,284.575,2.66444,0.197644188,1.40E-14,5.059597294,-3.58E-13,*,5.859,2.24E+05
J1858+0241,36.18,-0.43,284.7242,2.6939,4.693232933,2.43E-14,0.21307274,-1.10E-15,*,5.15,3.06E+06
J1858+0244g,36.114,-0.216,284.5,2.73,0.00261,*,383.141762,*,*,4.724,*
J1858+0310g,36.507,-0.033,284.52,3.17,0.37275,*,2.682763,*,*,6.7,*
J1858+0319,36.714,-0.094,284.67033,3.3226,0.867443879,1.03E-16,1.152812331,-1.36E-16,*,4.777,1.34E+08
J1858+0346,37.083,0.182,284.59317,3.7772,0.256843798,2.04E-15,3.893416964,-3.09E-14,*,5.49,1.99E+06
J1858+0609g,39.171,1.311,284.54,6.15,0.48435,*,2.064623,*,*,11.567,*
J1858-0736,26.964,-5.079,284.685,-7.62,0.551058591,5.06E-15,1.814689066,-1.67E-14,*,10.144,1.73E+06
